#scientific name	type materials and coidentical strains	has sequences from type material?	number of assemblies per taxon	number of assemblies from type materials per taxon	number of assemblies from type materials per species
Acidipropionibacterium microaerophilum	CNCM I-2360,CNCM:I:2360,DSM 13435,DSM:13435,M5	yes	0	0	0
Acidipropionibacterium olivae	CECT 8061,CECT:8061,DSM 25436,DSM:25436,IGBL1	yes	0	0	0
Acidipropionibacterium thoenii	ATCC 4874,ATCC:487,ATCC:4874,BCCM/LMG:16455,CCUG 28149,CCUG:28149,CIP 103029,CIP:103029,DSM 20276,DSM:20276,HAMBI 247,HAMBI:247,JCM 6437,JCM:6437,LMG 16455,LMG:16455,NCFB 568,NCFB:568	yes	1	1	1
Acidipropionibacterium timonense	CSUR:P4482,Marseille-P4482	yes	1	1	1
Acidipropionibacterium virtanenii	DSM 106790,DSM:106790,JS278,VTT E-113202,VTT:E:113202	yes	1	1	1
Acidisarcina polymorpha	SBC82	yes	1	1	1
Acidisoma sibiricum	DSM 21000,DSM:21000,TPB606,VKM B-2487,VKM:B-2487,culture-collection:VKM:B:2487	yes	0	0	0
Acidisoma tundrae	DSM 19999,DSM:19999,VKM B-2488,VKM:B-2488,WM1,culture-collection:VKM:B:2488	yes	0	0	0
Acidisphaera rubrifaciens	HS-AP3,JCM 10600,JCM:10600	yes	1	1	1
Aciditerrimonas ferrireducens	DSM 45281,DSM:45281,IC-180,JCM 15389,JCM:15389	yes	1	0	0
Acidithiobacillus albertensis	ATCC 35403,ATCC:35403,DSM 14366,DSM:14366	yes	1	1	1
Acidithiobacillus caldus	ATCC 51756,ATCC:51756,DSM 8584,DSM:8584,KU	yes	8	1	1
Acidithiobacillus ferrianus	DSM 107098,DSM:107098,JCM 33084,JCM:33084,MG	yes	1	1	1
Acidithiobacillus ferridurans	ATCC 33020,ATCC:33020,JCM 18981,JCM:18981	yes	1	1	1
Acidithiobacillus ferriphilus	DSM 100412,DSM:100412,JCM 30830,JCM:30830,M20	yes	0	0	0
Acidithiobacillus ferrivorans	DSM 22755,DSM:22755,JCM 15606,JCM:15606,NO-37	yes	6	0	0
Acidithiobacillus ferrooxidans	ATCC 23270,ATCC:23270,CIP 104768,CIP:104768,DSM 14882,DSM:14882	yes	11	1	1
Acidithiobacillus sulfuriphilus	CJ-2,DSM 105150,DSM:105150,KCTC 4683,KCTC:4683	yes	1	1	1
Acidithiobacillus thiooxidans	ATCC 19377,ATCC:19377,CIP 104597,CIP:104597,DSM 14887,DSM:14887,JCM 3867,JCM:3867,NCIMB 8343,NCIMB:8343	yes	13	3	3
Acidithrix ferrooxidans	DSM 28176,DSM:28176,JCM 19728,JCM:19728,PY-F3	yes	1	1	1
Acidobacterium ailaaui	BCCM/LMG:28340,DSM 27394,DSM:27394,LMG 28340,LMG:28340,PMMR2	yes	1	1	1
Acidobacterium capsulatum	ATCC 51196,ATCC:51196,DSM 11244,DSM:11244,IFO 15755,IFO:15755,JCM 7670,JCM:7670,NBRC 15755,NBRC:15755	yes	2	1	1
Acidocella aluminiidurans	AL46,NBRC 104303,NBRC:104303,VTCC D9-1	yes	0	0	0
Acidocella aminolytica	101,ATCC 51361,ATCC:51361,DSM 11237,DSM:11237,JCM 8796,JCM:8796	yes	2	1	1
Acidocella aquatica	DSM 104037,DSM:104037,NBRC 112502,NBRC:112502,Ok2G	yes	0	0	0
Acidocella aromatica	DSM 27026,DSM:27026,NCCB 100456,NCCB:100456,PFBC	yes	1	1	1
Acidocella facilis	ATCC 35904,ATCC:35904,NCCB 86038,NCCB:86038	yes	1	1	1
Acidomonas methanolica	ATCC 43581,ATCC:43581,BCCM/LMG:1668,CCUG 37300,CCUG:37300,CIP 103167,CIP:103167,DSM 5432,DSM:5432,IMET 10945,IMET:10945,JCM 6891,JCM:6891,LMG 1668,LMG:1668,MB58,NBRC 104435,NBRC:104435,NCCB 89007,NCCB:89007,NRIC 0498,NRIC:0498,TK 0705,VKM B-2104,VKM:B-2104,culture-collection:VKM:B:2104	yes	3	3	3
Acidothermus cellulolyticus	11B,ATCC 43068,ATCC:43068	yes	2	1	1
Acidovorax anthurii	CFBP 3232,CFBP:3232,CFPB 3232,CIP 107058,CIP:107058,DSM 16745,DSM:16745,ICMP 13404,ICMP:13404	yes	1	1	1
Acidovorax avenae	ATCC 19307 [[Pseudomonas rubrilineans (Lee et al. 1925) Stapp 1928 (Approved Lists 1980)]],ATCC 19860,ATCC:19307 [[Pseudomonas rubrilineans (Lee et al. 1925) Stapp 1928 (Approved Lists 1980)]],ATCC:19860,BCCM/LMG:2117,CCUG 15838,CCUG:15838,CFBP 2425,CFBP:2425,CIP 106500,CIP:106500,DSM 7227,DSM:7227,ICMP 3183,ICMP:3183,JCM 20985,JCM:20985,LMG 2117,LMG:2117,NCPPB 1011,NCPPB:1011	yes	18	1	1
Acidovorax caeni	BCCM/LMG:24103,DSM 19327,DSM:19327,LMG 24103,LMG:24103,R-24608	yes	2	2	2
Acidovorax carolinensis	BCCM/LMG:30136,DSM 105008,DSM:105008,LMG 30136,LMG:30136,NA3	yes	4	1	1
Acidovorax cattleyae	ATCC 33619,ATCC:33619,BCCM/LMG:2364,CCUG 21975,CCUG:21975,CFBP 2423,CFBP:2423,CIP 106435,CIP:106435,DSM 17101,DSM:17101,FC-507,IBSBF 209,IBSBF:209,ICMP 2826,ICMP:2826,ICPB 30134 (PC21),ICPB:30134 (PC21),LMG 2364,LMG:2364,NCPPB 961,NCPPB:961	yes	2	1	1
Acidovorax cavernicola	1011MAR4D40,2,M4D40,2	yes	1	0	0
Acidovorax citrulli	ATCC 29625,ATCC:29625,BCCM/LMG:5376,CCUG 17393,CCUG:17393,CFBP 4459,CFBP:4459,CIP 106436,CIP:106436,DSM 17060,DSM:17060,FC-247,IBSBF 1851,IBSBF:1851,ICMP 7500,ICMP:7500,ICPB 30064,ICPB:30064,LMG 5376,LMG:5376,NCPPB 3679,NCPPB:3679	yes	12	1	1
Acidovorax defluvii	BSB411,CCUG 49021,CCUG:49021,CIP 106824,CIP:106824,DSM 12644,DSM:12644	yes	0	0	0
Acidovorax delafieldii	ATCC 17505,ATCC:17505,BCCM/LMG:5943,CCUG 1779,CCUG:1779,CFBP 2442,CFBP 3609,CFBP:2442,CFBP:3609,CIP 103303,CIP:103303,DSM 64,DSM:64,LMG 5943,LMG:5943	yes	6	1	1
Acidovorax ebreus	na	no	1	0	0
Acidovorax facilis	ATCC 11228,ATCC:11228,BCCM/LMG:2193,CCUG 2113,CCUG:2113,CFBP 2441,CFBP 3608,CFBP:2441,CFBP:3608,CIP 103302,CIP:103302,DSM 649,DSM:649,LMG 2193,LMG:2193,NRRL B-4274,NRRL:B-4274,culture-collection:NRRL:B:4274	yes	1	0	0
Acidovorax kalamii	KCTC 52819,KCTC:52819,KNDSW-TSA6,MTCC 12652,MTCC:12652,VTCC-B-910010,VTCC-B:910010	yes	1	1	1
Acidovorax konjaci	ATCC 33996,ATCC:33996,BCCM/LMG:5691,CCUG 17394,CCUG:17394,CFBP 4460,CFBP:4460,CIP 106439,CIP:106439,DSM 7481,DSM:7481,ICMP 7733,ICMP:7733,JCM 2397,JCM:2397,K2,LMG 5691,LMG:5691,NCPPB 3698,NCPPB:3698,PDDCC 7733,PDDCC:7733	yes	2	1	1
Acidovorax lacteus	JCM 31890,JCM:31890,KCTC 52220,KCTC:52220,M36	yes	0	0	0
Acidovorax monticola	K-4-16,KACC 19171,KACC:19171,KEMB 9005-570,KEMB:9005-570,KEMC:9005-570,NBRC 113141,NBRC:113141	yes	1	1	1
Acidovorax oryzae	ATCC 19882,ATCC:19882,FC-143,ICMP 3960,ICMP:3960,ICPB 30003,ICPB PS177,ICPB:30003,NCPPB 1392,NCPPB:1392	yes	2	1	1
Acidovorax radicis	BCCM/LMG:25767,DSM 23535,DSM:23535,LMG 25767,LMG:25767,N35	yes	3	1	1
Acidovorax soli	BL21,DSM 25157,DSM:25157,JCM 15909,JCM:15909,KCTC 22399,KCTC:22399	yes	2	1	1
Acidovorax temperans	ATCC 49665,ATCC:49665,BCCM/LMG:7169,CCUG 11779,CCUG 29362,CCUG:11779,CCUG:29362,CFBP 3610,CFBP:3610,CIP 103457,CIP:103457,DSM 7270,DSM:7270,LMG 7169,LMG:7169	yes	2	1	1
Acidovorax valerianellae	CFBP 4730,CFBP:4730,DSM 16619,DSM:16619,NCPPB 4283,NCPPB:4283	yes	1	1	1
Acidovorax wautersii	BCCM/LMG:26971,CCUG 62584,CCUG:62584,DSM 27981,DSM:27981,LMG 26971,LMG:26971,NF 1078	yes	2	1	1
Aciduliprofundum boonei	na	no	4	0	0
Acinetobacter albensis	ANC 4874,CCM 8611,CCM:8611,CCUG 67281,CCUG:67281	yes	2	1	1
Acinetobacter antiviralis	KCTC 0699BP,KCTC:0699BP,KNF2022	yes	0	0	0
Acinetobacter apis	HYN18,JCM 18575,JCM:18575,KACC 16906,KACC:16906	yes	1	0	0
Acinetobacter baumannii	ATCC 19606,ATCC:19606,BCCM/LMG:1041,CCUG 19096,CCUG:19096,CIP 70.34,CIP:70.34,DSM 30007,DSM:30007,JCM 6841,JCM:6841,LMG 1041,LMG:1041,NCCB 85021,NCCB:85021,NCTC 12156,NCTC:12156	yes	5230	12	12
Acinetobacter baylyi	B2,CIP 107474,CIP:107474,DSM 14961,DSM:14961	yes	12	2	2
Acinetobacter beijerinckii	58a,CCM 7266,CCM:7266,CCUG 51249,CCUG:51249,LUH 4759,LUH:4759,NIPH 838,NIPH:838	yes	4	0	0
Acinetobacter bereziniae	69,ATCC 17924,ATCC:17924,BCCM/LMG:1003,CIP 70.12,CIP:70.12,DSM 25435,DSM:25435,LMG 1003,LMG:1003,NIPH 521,NIPH:521	yes	35	2	2
Acinetobacter bohemicus	ANC 3994,BCCM/LMG:28467 [[Acinetobacter pakistanensis]],CCM 8462,CCM:8462,CCUG 63842,CCUG 69707 [[Acinetobacter pakistanensis]],CCUG:63842,CCUG:69707 [[Acinetobacter pakistanensis]],CIP 110496,CIP:110496,JCM 189775 [[Acinetobacter pakistanensis]],JCM:189775 [[Acinetobacter pakistanensis]],KCTC 42081 [[Acinetobacter pakistanensis]],KCTC:42081 [[Acinetobacter pakistanensis]],LMG 28467 [[Acinetobacter pakistanensis]],LMG:28467 [[Acinetobacter pakistanensis]],NCCP-644 [[Acinetobacter pakistanensis]]	yes	3	2	2
Acinetobacter boissieri	BCCM/LMG:26959,CECT 8128,CECT:8128,LMG 26959,LMG:26959,SAP 284.1	yes	1	0	0
Acinetobacter bouvetii	4B02,CCUG 50766,CCUG:50766,CIP 107468,CIP:107468,DSM 14964,DSM:14964	yes	5	2	2
Acinetobacter brisouii	5YN5-8,CIP 110357,CIP:110357,DSM 18516,DSM:18516,KACC 11602,KACC:11602	yes	6	2	2
Acinetobacter calcoaceticus	ATCC 23055,ATCC:23055,BCCM/LMG:1046,CAIM 17,CAIM&lt;MEX&gt;:17,CCUG 12804,CCUG:12804,CIP 81.8,CIP:81.8,DSM 30006,DSM:30006,JCM 6842,JCM:6842,LMG 1046,LMG:1046,NCCB 22016,NCCB:22016,NCTC 12983,NCTC:12983,culture-collection:CAIM:17	yes	21	3	3
Acinetobacter celticus	ANC 4603,CCM 8700,CCM:8700,CCUG 69239,CCUG:69239,CNCTC 7549,CNCTC:7549	yes	1	1	1
Acinetobacter chinensis	GDMCC 1.1232,GDMCC:1.1232,KCTC 62813,KCTC:62813,WCHAc010005	yes	1	1	1
Acinetobacter colistiniresistens	1191,CCM 8641,CCM:8641,CCUG 67966,CCUG:67966,CIP 110478,CIP:110478,CNCTC 7573,CNCTC:7573,NIPH 2036,NIPH:2036	yes	11	1	1
Acinetobacter courvalinii	ANC 3623,CCM 8635,CCM:8635,CCUG 67960,CCUG:67960,CIP 110480,CIP:110480	yes	2	2	2
Acinetobacter cumulans	ANC:5797,CCTCC:AB 2018119,GDMCC:1.1380,KCTC:62576,WCHAc060092	yes	7	1	1
Acinetobacter defluvii	CCTCC AB 2016203,CCTCC:AB 2016203,GDMCC 1.1101,GDMCC:1.1101,KCTC 52503,KCTC:52503,WCHA30,culture-collection:CCTCC:AB:2016203	yes	2	1	1
Acinetobacter dispersus	ANC 4105,CCM 8636,CCM:8636,CCUG 67961,CCUG:67961,CIP 110500,CIP:110500	yes	1	0	0
Acinetobacter equi	114,CCUG 65204,CCUG:65204,DSM 27228,DSM:27228	yes	1	1	1
Acinetobacter gandensis	ANC 4275,ANC:4275,BCCM/LMG:27960,CCUG 68482,CCUG:68482,DSM 28097,DSM:28097,LMG 27960,LMG:27960,UG 60467	yes	2	2	2
Acinetobacter gerneri	9A01,CIP 107464,CIP:107464,DSM 14967,DSM:14967	yes	3	1	1
Acinetobacter guerrae	AC 1271,CCM 8791,CCM:8791,CCUG 68674,CCUG:68674	yes	3	1	1
Acinetobacter guillouiae	ATCC 11171,ATCC:11171,BCCM/LMG:988,CCUG 2491,CCUG:2491,CIP 63.46,CIP:63.46,DSM 590,DSM:590,LMG 988,LMG:988,NIPH 522,NIPH:522	yes	8	2	2
Acinetobacter gyllenbergii	1271,CCM 7267,CCM:7267,CCUG 51248,CCUG:51248,DSM 22705,DSM:22705,NIPH 2150,NIPH:2150,RUH 422,RUH:422	yes	7	0	0
Acinetobacter haemolyticus	ATCC 17906,ATCC:17906,B40,BCCM/LMG:996,CCUG 888,CCUG:888,CIP 64.3,CIP:64.3,DSM 6962,DSM:6962,LMG 996,LMG:996,Mannheim 2446/60,NCCB 85026,NCCB:85026,NCTC 12155,NCTC:10305,NCTC:12155	yes	54	2	2
Acinetobacter halotolerans	JCM 31009,JCM:31009,KACC 18453,KACC:18453,KEMB 9005-333,KEMB:9005-333,KEMC:9005-333,R160	yes	1	1	1
Acinetobacter harbinensis	CGMCC 1.12528,CGMCC:1.12528,HITLi 7,KCTC 32411,KCTC:32411	yes	1	1	1
Acinetobacter idrijaensis	na	no	1	0	0
Acinetobacter indicus	1NM-4 [[Acinetobacter guangdongensis]],A648,CCM 7832,CCM:7832,CCTCC AB 2014199 [[Acinetobacter guangdongensis]],CCTCC:AB 2014199 [[Acinetobacter guangdongensis]],CIP 110367,CIP:110367,DSM 25388,DSM:25388,GIMCC 1.656 [[Acinetobacter guangdongensis]],GIMCC:1.656 [[Acinetobacter guangdongensis]],KCTC 42012 [[Acinetobacter guangdongensis]],KCTC:42012 [[Acinetobacter guangdongensis]],culture-collection:CCTCC:AB:2014199 [[Acinetobacter guangdongensis]]	yes	91	3	3
Acinetobacter johnsonii	ATCC 17909,ATCC:17909,BCCM/LMG:999,CCUG 19095,CCUG:19095,CIP 64.6,CIP:64.6,DSM 6963,DSM:6963,HAMBI 1969,HAMBI 1971,HAMBI:1969,HAMBI:1971,LMG 999,LMG:999,Mannheim 3865/60,NCIMB 12460,NCIMB:12460,NCTC 12154,NCTC:10308,NCTC:12154	yes	38	2	2
Acinetobacter junii	17A04 [[Acinetobacter grimontii]],ATCC 17908,ATCC:17908,BCCM/LMG:998,CCUG 50767 [[Acinetobacter grimontii]],CCUG 889,CCUG:50767 [[Acinetobacter grimontii]],CCUG:889,CIP 107470,CIP 64.5,CIP:107470,CIP:64.5,DSM 14968 [[Acinetobacter grimontii]],DSM 6964,DSM:14968 [[Acinetobacter grimontii]],DSM:6964,LMG 998,LMG:998,Mannheim 2723/59,NCTC 12153,NCTC:10307	yes	64	3	3
Acinetobacter kookii	11-0202,JCM 18512,JCM:18512,KCTC 32033,KCTC:32033	yes	1	0	0
Acinetobacter kyonggiensis	JCM 17071,JCM:17071,KEMC 5401-037,KEMC:5401-037,KSL5401-037	yes	1	0	0
Acinetobacter lactucae	BCCM/LMG:29605 [[Acinetobacter dijkshoorniae]],CCUG 68785,CCUG:68785,CECT 9134 [[Acinetobacter dijkshoorniae]],CECT:9134 [[Acinetobacter dijkshoorniae]],JVAP01 [[Acinetobacter dijkshoorniae]],LMG 29605 [[Acinetobacter dijkshoorniae]],LMG:29605 [[Acinetobacter dijkshoorniae]],NRRL B-41902,NRRL:B-41902,culture-collection:NRRL:B:41902	yes	15	2	2
Acinetobacter larvae	ACCC 19936,ACCC:19936,BRTC-1,JCM 31367,JCM:31367	yes	1	1	1
Acinetobacter lwoffii	ATCC 15309,ATCC:15309,BCCM/LMG:1029,CCUG 33984,CCUG:33984,CIP 64.10,CIP:64.10,CIP:644.10,DSM 2403,DSM:2403,JCM 6840,JCM:6840,LMG 1029,LMG:1029,NCAIM B.01101,NCCB 73001,NCCB:73001,NCTC 5866,NCTC:5866	yes	29	2	2
Acinetobacter marinus	DSM 16312,DSM:16312,KCTC 12259,KCTC:12259,SW-3	yes	1	0	0
Acinetobacter mesopotamicus	DSM 26953,DSM:26953,GC2,JCM 31073,JCM:31073	yes	1	1	1
Acinetobacter modestus	CCM 8639,CCM:8639,CCUG 67964,CCUG:67964,CIP 110444,CIP:110444,NIPH 236	yes	1	1	1
Acinetobacter movanagherensis	Movanagher 4	yes	0	0	0
Acinetobacter nectaris	BCCM/LMG:26958,CECT 8127,CECT:8127,CIP 110549,CIP:110549,LMG 26958,LMG:26958,SAP 763.2	yes	1	1	1
Acinetobacter nosocomialis	BCCM/LMG:10619,CCM 7791,CCM:7791,CCUG 74064,CCUG:74064,LMG 10619,LMG:10619,NIPH 2119,NIPH:2119,RUH 2376	yes	161	2	2
Acinetobacter oleivorans	DR1,JCM 16667,JCM:16667,KCTC 23045,KCTC:23045	yes	32	2	2
Acinetobacter oryzae	B23,BCCM/LMG:25575,CGMCC 1.10689,CGMCC:1.10689,LMG 25575,LMG:25575	yes	0	0	0
Acinetobacter parvus	BCCM/LMG:21765,CCM 7030,CCM:7030,CCUG 48800,CCUG:48800,DSM 16617,DSM:16617,LMG 21765,LMG:21765,LUH 4616,LUH:4616,NIPH 384,NIPH:384	yes	5	2	2
Acinetobacter piscicola	CICC 24241,CICC:24241,JCM 32101,JCM:32101,KCTC 62134,KCTC:62134,LW15,MCCC 1K03337,MCCC:1K03337	yes	3	1	1
Acinetobacter pittii	ATCC 19004,ATCC:19004,BCCM/LMG:1035,CIP 70.29,CIP:70.29,DSM 25618,DSM:25618,LMG 1035,LMG:1035,NIPH 519,NIPH:519,RUH 2206	yes	434	2	2
Acinetobacter plantarum	CCTCC AB 2015123,CCTCC:AB 2015123,KCTC 42611,KCTC:42611,THG-SQM11,culture-collection:CCTCC:AB:2015123	yes	0	0	0
Acinetobacter populi	CFCC 11170,CFCC:11170,KCTC 42272,KCTC:42272,PBJ7	yes	1	1	1
Acinetobacter portensis	AC 877,CCM 8789,CCM:8789,CCUG 68672,CCUG:68672	yes	1	1	1
Acinetobacter pragensis	ANC 4149,CCM 8637,CCM:8637,CCUG 67962,CCUG:67962,CNCTC 7530,CNCTC:7530	yes	1	1	1
Acinetobacter proteolyticus	631,CCM 8640,CCM:8640,CCUG 67965,CCUG:67965,CIP 110482,CIP:110482,NIPH 809	yes	4	1	1
Acinetobacter pseudolwoffii	ANC 5044,CCM 8638,CCM:8638,CCUG 67963,CCUG:67963,CIP 111642,CIP:111642	yes	2	1	1
Acinetobacter pullicarnis	JCM 33150,JCM:33150,KACC 19921,KACC:19921,S23,S2356	yes	1	1	1
Acinetobacter puyangensis	BQ4-1,CFCC 10780,CFCC:10780,JCM 18011,JCM:18011	yes	1	0	0
Acinetobacter qingfengensis	2BJ1,CFCC 10890,CFCC:10890,KCTC 32225,KCTC:32225	yes	2	0	0
Acinetobacter radioresistens	ATCC 43998,ATCC:43998,BCCM/LMG:10613,CIP 103788,CIP:103788,DSM 6976,DSM:6976,FO-1,IAM 13186,IAM:13186,JCM 9326,JCM:9326,LMG 10613,LMG:10613,NBRC 102413,NBRC:102413	yes	57	3	3
Acinetobacter refrigeratoris	CCTCC AB 2014197,CCTCC:AB 2014197,GIMCC 1.663,GIMCC:1.663,KCTC 42011,KCTC:42011,WB1,WB:1,culture-collection:CCTCC:AB:2014197	yes	0	0	0
Acinetobacter rudis	BCCM/LMG:26107,CCUG 57889,CCUG:57889,CECT 7818,CECT:7818,DSM 24031,DSM:24031,G30,LMG 26107,LMG:26107	yes	2	1	1
Acinetobacter schindleri	BCCM/LMG:19576,CCUG 45560,CCUG:45560,CIP 107287,CIP:107287,CNCTC 6736,CNCTC:6736,DSM 16038,DSM:16038,LMG 19576,LMG:19576,LUH 5832,LUH:5832,NIPH 1034,NIPH:1034	yes	14	1	1
Acinetobacter seifertii	10090,CCM 8535,CCM:8535,CCUG 34785,CCUG:34785,CIP 110471,CIP:110471,LUH 1472,LUH:1472,NIPH 973,NIPH:973	yes	70	1	1
Acinetobacter seohaensis	DSM 16313,DSM:16313,KCTC 12260,KCTC:12260,SW-100	yes	0	0	0
Acinetobacter septicus	AK001	yes	0	0	0
Acinetobacter soli	B1,JCM 15062,JCM:15062,KCTC 22184,KCTC:22184	yes	32	1	1
Acinetobacter tandoii	4N13,CIP 107469,CIP:107469,DSM 14970,DSM:14970	yes	6	2	2
Acinetobacter tjernbergiae	7N16,CIP 107465,CIP:107465,DSM 14971,DSM:14971	yes	3	3	3
Acinetobacter towneri	AB1110,CIP 107472,CIP:107472,DSM 14962,DSM:14962	yes	9	2	2
Acinetobacter ursingii	BCCM/LMG:19575,CCUG 45559,CCUG:45559,CIP 107286,CIP:107286,CNCTC 6735,CNCTC:6735,DSM 16037,DSM:16037,LMG 19575,LMG:19575,LUH 3792,LUH:3792,NIPH 137,NIPH:137	yes	63	2	2
Acinetobacter variabilis	CCM 8555,CCM:8555,CCUG 26390,CCUG:26390,CIP 110486,CIP:110486,NIPH 2171	yes	3	1	1
Acinetobacter venetianus	ATCC 31012,ATCC:31012,BCCM/LMG:19082,CCUG 45561,CCUG:45561,CIP 110063,CIP:110063,LMG 19082,LMG:19082,LUH 3904,LUH:3904,NIPH 1925,NIPH:1925,RAG-1	yes	13	2	2
Acinetobacter vivianii	1240,CCM 8642,CCM:8642,CCUG 67967,CCUG:67967,CIP 110483,CIP:110483,NIPH 2168	yes	1	1	1
Acinetobacter wuhouensis	CCTCC AB 2016204,CCTCC:AB 2016204,CCTCC:AB:2016204,GDMCC 1.1100,GDMCC:1.1100,KCTC 52505,KCTC:52505,WCHA60	yes	4	1	1
Acrocarpospora corrugata	ATCC 29331,ATCC:29331,BCRC 12360,BCRC:12360,CCRC 12360,CCRC:12360,DSM 43316,DSM:43316,IFO 13972,IFO:13972,JCM 3181,JCM:3181,KCTC 9431,KCTC:9431,NBRC 13972,NBRC:13972,NCIB 11120,NCIB:11120,NCIMB 11120,NCIMB:11120	yes	1	1	1
Acrocarpospora macrocephala	IFO 16266,IFO:16266,JCM 10982,JCM:10982,NBRC 16266,NBRC:16266,R-55	yes	1	1	1
Acrocarpospora phusangensis	BCC 46906,BCC&lt;THA&gt;:46906,NBRC 108782,NBRC:108782,PS33-18,culture-collection:BCC:46906	yes	0	0	0
Acrocarpospora pleiomorpha	IFO 16267,IFO:16267,JCM 10983,JCM:10983,NBRC 16267,NBRC:16267,R-31	yes	1	1	1
Actibacter haliotis	JCM 18868,JCM:18868,KACC 17209,KACC:17209,W113	yes	0	0	0
Actibacter sediminis	JC2129,JCM 14002,JCM:14002,KCTC 12704,KCTC:12704	yes	0	0	0
Actibacterium atlanticum	22II-S11-z10,BCCM/LMG:27158,LMG 27158,LMG:27158,MCCC 1A09298,MCCC:1A09298	yes	1	1	1
Actibacterium mucosum	CECT 7668,CECT:7668,KCTC 23349,KCTC:23349,R46	yes	1	1	1
Actibacterium pelagium	CGMCC 1.16012,CGMCC:1.16012,JN33,KCTC 52653,KCTC:52653	yes	2	2	2
Actibacterium ureilyticum	BCRC 80823,BCRC:80823,JCM 30681,JCM:30681,LS-811	yes	1	1	1
Actimicrobium antarcticum	JCM 16673,JCM:16673,KCTC 23040,KCTC:23040,KOPRI 25157	yes	0	0	0
Actinoallomurus acaciae	BCC 28622,BCC&lt;THA&gt;:28622,GMKU 931,JCM 17235,JCM:17235,NBRC 104354,NBRC:104354,NRRL B-24610,NRRL:B-24610,culture-collection:BCC:28622,culture-collection:NRRL:B:24610	yes	0	0	0
Actinoallomurus acanthiterrae	2614A723,CCTCC AA 2012001,CCTCC:AA 2012001,DSM 45727,DSM:45727,culture-collection:CCTCC:AA:2012001	yes	0	0	0
Actinoallomurus amamiensis	KCTC 19537,KCTC:19537,NBRC 103682,NBRC:103682,TT00-28	no	0	0	0
Actinoallomurus bryophytorum	CGMCC 4.7200,CGMCC:4.7200,DSM 102200,DSM:102200,JCM 30340,JCM:30340,NEAU-TX1-15	yes	1	1	1
Actinoallomurus caesius	A3015,KCTC 19535,KCTC:19535,NBRC 103678,NBRC:103678	no	0	0	0
Actinoallomurus coprocola	KCTC 19542,KCTC:19542,NBRC 103688,NBRC:103688,TT04-09	no	0	0	0
Actinoallomurus fulvus	KCTC 19536,KCTC:19536,NBRC 103680,NBRC:103680,TT99-66	no	0	0	0
Actinoallomurus iriomotensis	KCTC 19539,KCTC:19539,NBRC 103685,NBRC:103685,TT02-47	no	0	0	0
Actinoallomurus liliacearum	BCC 49424,BCC&lt;THA&gt;:49424,JCM 17938,JCM:17938,K10-0485,NBRC 108762,NBRC:108762,culture-collection:BCC:49424	yes	0	0	0
Actinoallomurus luridus	KCTC 19538,KCTC:19538,NBRC 103683,NBRC:103683,TT02-15	no	0	0	0
Actinoallomurus oryzae	BCC 31373,BCC&lt;THA&gt;:31373,GMKU 370,JCM 17933,JCM:17933,NBRC 105246,NBRC:105246,culture-collection:BCC:31373	yes	0	0	0
Actinoallomurus purpureus	KCTC 19541,KCTC:19541,NBRC 103687,NBRC:103687,TTN02-30	no	0	0	0
Actinoallomurus radicium	DSM 45523,DSM:45523,JCM 17294,JCM:17294,K08-0182,NBRC 107678,NBRC:107678	yes	0	0	0
Actinoallomurus spadix	ATCC 27298,ATCC:27298,BCRC 13386,BCRC:13386,CBS 261.72,CBS:261.72,CIP 105479,CIP:105479,DSM 43459,DSM:43459,IMET 9752,IMET:9752,JCM 3146,JCM:3146,KCTC 9252,KCTC:9252,NBRC 14099,NBRC:14099,NCIMB 11118,NCIMB:11118,NRRL B-16128,NRRL:B-16128,culture-collection:NRRL:B:16128	yes	0	0	0
Actinoallomurus vinaceus	BCC 49425,BCC&lt;THA&gt;:49425,JCM 17939,JCM:17939,K10-0528,NBRC 108763,NBRC:108763,culture-collection:BCC:49425	yes	0	0	0
Actinoallomurus yoronensis	KCTC 19540,KCTC:19540,NBRC 103686,NBRC:103686,TTN02-22	no	0	0	0
